date,description,amount,category,payment_mode,is_anomaly
2023-07-05,DTH recharge - Dish TV,2659.69,Bills & Utilities,Debit Card,0
2024-08-14,BigBasket order,2171.07,Groceries,Debit Card,0
2024-04-21,Coursera subscription,14618.39,Education,Debit Card,0
2024-12-08,Books - Amazon,8633.15,Education,UPI,0
2024-01-05,Axis Bank credit card bill,2984.59,EMI & Finance,UPI,0
2024-03-09,IndiGo flight,1623.51,Transport,Credit Card,0
2024-07-23,Piped gas bill,2498.75,Bills & Utilities,Debit Card,0
2024-11-21,Nykaa skincare,1659.61,Personal Care,Net Banking,0
2024-12-18,College fee,6579.93,Education,Net Banking,0
2023-08-01,Gaming - Steam,1215.22,Entertainment,Debit Card,0
2023-05-28,Udemy course,9663.35,Education,Credit Card,0
2024-10-23,Coaching institute fee,6469.53,Education,UPI,0
2023-04-13,Myntra personal care,2163.91,Personal Care,UPI,0
2024-10-16,BookMyShow movie,793.8,Entertainment,Net Banking,0
2023-05-15,LIC premium,8431.48,EMI & Finance,UPI,0
2023-12-04,INOX movies,269.95,Entertainment,Net Banking,0
2023-08-02,Unacademy Plus,7231.13,Education,Credit Card,0
2024-02-25,YouTube Premium,394.2,Entertainment,UPI,0
2024-04-13,Myntra clothes,4145.13,Shopping,UPI,0
2023-08-27,Beauty parlour,1121.17,Personal Care,UPI,0
2023-04-13,Zomato delivery,542.9,Food,Debit Card,0
2024-10-01,INOX movies,1312.75,Entertainment,UPI,0
2024-12-31,Swiggy Instamart,2415.31,Groceries,Cash,0
2023-03-12,1mg order,3243.72,Health,Credit Card,0
2024-04-29,MedPlus medicine,568.21,Health,Cash,0
2024-02-20,Mutual fund SIP - Zerodha,15217.6,EMI & Finance,Credit Card,0
2024-01-19,Gym membership (unusual),9191.87,Personal Care,UPI,1
2024-06-17,Kotak credit card,9890.53,EMI & Finance,Debit Card,0
2024-08-22,YouTube Premium,759.56,Entertainment,Net Banking,0
2023-04-10,Society maintenance,2445.32,Bills & Utilities,UPI,0
2024-12-29,Lifestyle store,6955.41,Shopping,UPI,0
2024-07-04,Spencer's retail,6910.24,Shopping,UPI,0
2023-07-10,ICICI personal loan EMI,18815.74,EMI & Finance,Credit Card,0
2024-12-23,More supermarket,274.39,Groceries,Debit Card,0
2024-10-21,DTH recharge - Dish TV,2727.71,Bills & Utilities,Credit Card,0
2024-08-13,Municipal tax,410.78,Bills & Utilities,Debit Card,0
2023-10-09,PVR Cinemas,755.96,Entertainment,Credit Card,0
2023-10-03,JioMart,1995.03,Groceries,Credit Card,0
2023-11-16,IndiGo flight,1312.07,Transport,Credit Card,0
2024-12-18,Beauty parlour,1914.31,Personal Care,Credit Card,0
2023-07-31,Society maintenance,1286.64,Bills & Utilities,Credit Card,0
2023-01-28,Water tax,2045.63,Bills & Utilities,UPI,0
2024-05-17,Unacademy Plus,10513.84,Education,Credit Card,0
2023-08-05,Thyrocare test,3263.22,Health,UPI,0
2024-06-01,Apollo pharmacy,246.01,Health,UPI,0
2024-09-25,Vi recharge,956.38,Bills & Utilities,Debit Card,0
2023-08-14,YouTube Premium,333.32,Entertainment,Credit Card,0
2023-12-11,YouTube Premium,1159.43,Entertainment,Credit Card,0
2023-03-02,Ajio fashion,7626.88,Shopping,Credit Card,0
2024-10-20,ICICI personal loan EMI,3019.72,EMI & Finance,Credit Card,0
2024-10-31,Blinkit grocery,255.1,Groceries,UPI,0
2023-06-24,Gym membership,1831.36,Personal Care,Credit Card,0
2023-06-18,LinkedIn Learning,5921.41,Education,UPI,0
2023-11-13,BSNL broadband,795.37,Bills & Utilities,Debit Card,0
2024-06-30,College fee,2314.97,Education,UPI,0
2024-05-09,Coursera subscription,5400.28,Education,Cash,0
2024-10-19,Kotak credit card,19557.29,EMI & Finance,UPI,0
2023-04-08,Diagnostic lab - SRL,1706.84,Health,UPI,0
2024-03-10,Haldiram's,171.37,Food,UPI,0
2023-10-26,Fastag recharge,3753.04,Transport,UPI,0
2024-06-02,Thyrocare test,122.79,Health,UPI,0
2024-01-06,Coursera subscription,11312.15,Education,UPI,0
2023-10-25,Zomato delivery,990.76,Food,Net Banking,0
2023-12-05,Hotstar subscription,748.62,Entertainment,Debit Card,0
2024-03-26,Mutual fund SIP - Zerodha,10737.47,EMI & Finance,Net Banking,0
2023-10-30,DTH recharge - Dish TV,587.47,Bills & Utilities,Net Banking,0
2024-12-08,GeeksForGeeks premium,9200.11,Education,Credit Card,0
2024-11-25,Amazon India,5893.14,Shopping,Credit Card,0
2024-12-01,Spotify premium,1141.89,Entertainment,UPI,0
2024-02-22,Reliance Digital,3700.98,Shopping,Credit Card,0
2024-07-06,Air India ticket,2984.3,Transport,Net Banking,0
2023-05-21,Uber ride,1444.41,Transport,Net Banking,0
2023-12-10,RedBus ticket,3031.61,Transport,Debit Card,0
2024-11-28,Coaching institute fee,8420.96,Education,Credit Card,0
2024-11-25,IRCTC train ticket,1963.12,Transport,UPI,0
2024-08-08,Metro card recharge,172.15,Transport,UPI,0
2023-08-30,Mutual fund SIP - Zerodha,18956.44,EMI & Finance,Debit Card,0
2023-11-16,Haldiram's,353.54,Food,UPI,0
2023-11-29,Society maintenance,2289.15,Bills & Utilities,Credit Card,0
2023-11-29,Barbeque Nation,234.65,Food,UPI,0
2024-05-02,Cult.fit subscription,1098.93,Personal Care,Debit Card,0
2023-03-21,Netflix subscription,416.39,Entertainment,UPI,0
2023-02-15,Manipal hospital,907.71,Health,UPI,0
2024-07-10,Coursera subscription,8804.35,Education,UPI,0
2023-08-27,Haldiram's,1093.81,Food,UPI,0
2024-05-01,Nature's Basket,1437.97,Groceries,Credit Card,0
2023-11-07,Ola outstation,1901.13,Transport,Cash,0
2023-05-03,Beauty parlour,1233.33,Personal Care,UPI,0
2023-07-12,Hotstar subscription,1208.47,Entertainment,UPI,0
2023-06-03,Municipal tax,335.9,Bills & Utilities,Credit Card,0
2023-11-02,LinkedIn Learning,2271.05,Education,UPI,0
2024-01-12,Thyrocare test,1374.77,Health,UPI,0
2023-08-31,HDFC car loan EMI,12098.61,EMI & Finance,Cash,0
2024-03-29,SIP - Groww,5638.06,EMI & Finance,Cash,0
2024-02-22,Zepto delivery,1035.64,Groceries,UPI,0
2024-08-12,BSNL broadband,501.38,Bills & Utilities,Cash,0
2023-09-27,Dunzo grocery,2643.21,Groceries,UPI,0
2023-07-30,Laundry service - Urban Company,1158.13,Personal Care,UPI,0
2023-11-30,SBI home loan EMI,16576.88,EMI & Finance,Net Banking,0
2023-03-29,Municipal tax,2329.03,Bills & Utilities,Credit Card,0
2024-07-04,Term insurance premium,3893.95,EMI & Finance,UPI,0
2024-10-21,RedBus ticket,3269.91,Transport,Net Banking,0
2024-06-08,Zee5 subscription,718.3,Entertainment,UPI,0
2024-02-17,Ola cab,3842.94,Transport,UPI,0
2023-09-29,Diagnostic lab - SRL,3637.99,Health,Debit Card,0
2024-05-17,Spotify premium,455.28,Entertainment,Credit Card,0
2023-05-12,Air India ticket,2122.96,Transport,Credit Card,0
2024-11-23,Rapido bike,3405.97,Transport,UPI,0
2023-10-03,DTH recharge - Dish TV,1662.27,Bills & Utilities,Debit Card,0
2024-10-31,Unacademy Plus,14851.75,Education,UPI,0
2023-05-16,More supermarket,975.88,Groceries,UPI,0
2024-09-20,Netmeds delivery,4209.51,Health,UPI,0
2024-01-05,1mg order,3355.42,Health,UPI,0
2023-06-14,Uber ride,1985.28,Transport,Debit Card,0
2024-04-06,Meesho purchase,1316.09,Shopping,UPI,0
2023-02-25,INOX movies,690.87,Entertainment,Credit Card,0
2024-05-15,Netmeds delivery,266.56,Health,UPI,0
2023-02-27,Unacademy Plus,10426.91,Education,Debit Card,0
2024-09-18,Dominos Pizza,754.68,Food,Net Banking,0
2023-01-22,GeeksForGeeks premium,10717.12,Education,UPI,0
2023-11-15,Swiggy Instamart,372.77,Groceries,Debit Card,0
2024-01-21,Gaming - Steam,271.91,Entertainment,Cash,0
2023-12-14,Nykaa skincare,1029.36,Personal Care,Net Banking,0
2023-10-18,Salon haircut,2208.42,Personal Care,Debit Card,0
2023-12-21,Books - Amazon,12438.73,Education,UPI,0
2023-10-22,YouTube Premium,906.16,Entertainment,Debit Card,0
2024-05-14,Books - Amazon,14335.02,Education,Credit Card,0
2023-11-06,IRCTC train ticket,2524.87,Transport,UPI,0
2023-08-25,BMTC bus pass,4324.61,Transport,UPI,0
2024-02-01,Meesho purchase,7437.52,Shopping,UPI,0
2024-07-12,Doctor consultation fee,691.93,Health,Credit Card,0
2024-03-02,Manipal hospital,3476.19,Health,Cash,0
2024-08-05,Vi recharge,1308.44,Bills & Utilities,UPI,0
2024-12-02,Laundry service - Urban Company,1404.91,Personal Care,Net Banking,0
2024-06-09,McDonald's,200.76,Food,Debit Card,0
2024-08-28,Nature's Basket,1387.61,Groceries,UPI,0
2023-07-01,Mutual fund SIP - Zerodha,6633.68,EMI & Finance,UPI,0
2023-04-08,Municipal tax,3452.11,Bills & Utilities,Credit Card,0
2023-02-25,Doctor consultation fee,2175.54,Health,UPI,0
2023-08-14,Myntra personal care,1364.64,Personal Care,UPI,0
2023-01-09,Cult.fit subscription,227.4,Personal Care,Credit Card,0
2023-05-05,BookMyShow movie,879.93,Entertainment,Net Banking,0
2024-01-04,Air India ticket,3363.44,Transport,UPI,0
2024-10-24,Piped gas bill,382.14,Bills & Utilities,Cash,0
2024-12-31,Meesho purchase,5851.65,Shopping,UPI,0
2023-11-24,RedBus ticket,1321.49,Transport,UPI,0
2023-12-14,Local dhaba,987.65,Food,Debit Card,0
2024-11-15,Cafe Coffee Day,117.88,Food,Debit Card,0
2024-02-09,Amazon Prime (unusual),3900.96,Entertainment,UPI,1
2024-07-06,BigBasket order,1722.04,Groceries,Credit Card,0
2024-10-11,Hotstar subscription,983.08,Entertainment,UPI,0
2024-08-09,Diagnostic lab - SRL,3466.63,Health,Cash,0
2024-02-07,College fee,3770.95,Education,UPI,0
2023-03-07,Air India ticket,2769.96,Transport,Debit Card,0
2023-09-11,Swiggy Instamart,988.42,Groceries,UPI,0
2024-02-07,Metro card recharge,2768.29,Transport,UPI,0
2024-07-19,Big Bazaar,481.02,Shopping,UPI,0
2024-11-25,Metro card recharge,2964.63,Transport,UPI,0
2024-01-24,Fastag recharge,3672.6,Transport,Debit Card,0
2023-09-18,BigBasket order,1975.76,Groceries,Credit Card,0
2023-08-26,Dominos Pizza,877.05,Food,UPI,0
2024-01-15,SIP - Groww,3818.62,EMI & Finance,UPI,0
2023-06-08,LinkedIn Learning,8566.68,Education,Net Banking,0
2024-08-01,MedPlus medicine,1927.95,Health,UPI,0
2024-02-19,Dominos Pizza,814.5,Food,UPI,0
2024-12-27,Ola cab (unusual),15291.41,Transport,UPI,1
2024-12-18,Beauty parlour (unusual),11651.04,Personal Care,UPI,1
2024-10-29,Kotak credit card,8006.38,EMI & Finance,Debit Card,0
2023-04-06,Mutual fund SIP - Zerodha,6286.18,EMI & Finance,Credit Card,0
2023-05-29,IndiGo flight,2780.8,Transport,UPI,0
2024-06-23,Jio recharge,1875.38,Bills & Utilities,Credit Card,0
2023-10-30,Airtel recharge,2969.96,Bills & Utilities,Credit Card,0
2024-01-13,Zee5 subscription,519.01,Entertainment,Debit Card,0
2024-08-31,Fastag recharge,186.01,Transport,UPI,0
2023-07-26,Airtel recharge,570.36,Bills & Utilities,Debit Card,0
2023-12-16,Burger King,425.93,Food,Cash,0
2024-07-28,Fastag recharge,1090.51,Transport,UPI,0
2023-02-23,Subway,797.88,Food,Cash,0
2023-12-01,BookMyShow movie,615.48,Entertainment,UPI,0
2023-10-17,Amazon Prime,1146.7,Entertainment,Net Banking,0
2024-11-17,Coursera subscription,866.45,Education,UPI,0
2023-07-23,Manipal hospital,1311.09,Health,Cash,0
2023-07-18,GeeksForGeeks premium,4603.48,Education,UPI,0
2023-01-13,Fortis hospital,4127.12,Health,Debit Card,0
2023-04-19,Laundry service - Urban Company,1440.22,Personal Care,Credit Card,0
2023-11-17,Fortis hospital,4787.84,Health,Cash,0
2023-11-26,IndiGo flight,2975.97,Transport,Credit Card,0
2023-10-23,Ajio fashion,1968.9,Shopping,UPI,0
2024-12-28,Stationery,6432.45,Education,UPI,0
2024-12-28,Hotstar subscription,193.11,Entertainment,UPI,0
2024-10-19,YouTube Premium,1352.72,Entertainment,UPI,0
2024-02-16,HDFC car loan EMI,2070.95,EMI & Finance,Net Banking,0
2024-06-25,Society maintenance,2910.43,Bills & Utilities,UPI,0
2024-04-09,GeeksForGeeks premium,4167.36,Education,Credit Card,0
2023-10-03,1mg order,2725.93,Health,UPI,0
2023-01-09,RedBus ticket,2356.01,Transport,UPI,0
2023-12-24,Petrol - HP pump,2319.29,Transport,Net Banking,0
2023-07-26,SBI credit card payment,20840.7,EMI & Finance,UPI,0
2024-03-31,Zomato delivery,598.22,Food,Cash,0
2023-07-28,Ajio fashion,852.06,Shopping,UPI,0
2024-07-14,Amazon Prime,551.33,Entertainment,UPI,0
2024-06-14,YouTube Premium,114.01,Entertainment,Net Banking,0
2023-09-17,Air India ticket,2990.81,Transport,Credit Card,0
2024-12-12,Lifestyle store,4202.85,Shopping,Credit Card,0
2023-08-13,Local kirana store,1129.97,Groceries,UPI,0
2024-01-05,PVR Cinemas,754.75,Entertainment,Credit Card,0
2024-04-10,Zee5 subscription,1402.37,Entertainment,Credit Card,0
2024-11-05,PPF deposit,12408.25,EMI & Finance,UPI,0
2024-05-08,BMTC bus pass,2048.95,Transport,Cash,0
2023-06-22,Swiggy order,586.3,Food,UPI,0
2023-10-17,IRCTC train ticket,2180.0,Transport,Debit Card,0
2023-08-12,DTH recharge - Tata Sky,2258.9,Bills & Utilities,UPI,0
2023-04-02,1mg order,2440.73,Health,UPI,0
2023-12-15,College fee,5908.71,Education,UPI,0
2024-04-25,Swiggy order,800.61,Food,UPI,0
2024-03-26,Stationery,5813.71,Education,Credit Card,0
2023-10-03,BESCOM electricity,2339.91,Bills & Utilities,Credit Card,0
2024-12-02,Gym membership,1298.32,Personal Care,Credit Card,0
2023-08-18,Cafe Coffee Day,462.75,Food,UPI,0
2023-08-24,1mg order,733.01,Health,Credit Card,0
2023-12-23,Meesho purchase,6151.02,Shopping,Cash,0
2023-10-13,Big Bazaar,3062.21,Shopping,UPI,0
2024-05-12,Kotak credit card,24793.46,EMI & Finance,UPI,0
2024-09-03,PVR Cinemas,1027.54,Entertainment,Credit Card,0
2024-07-25,Metro card recharge,1037.9,Transport,Debit Card,0
2023-01-08,Ola cab,321.7,Transport,Debit Card,0
2023-05-02,Myntra clothes,3025.34,Shopping,Debit Card,0
2024-03-28,Amazon Prime,1048.33,Entertainment,UPI,0
2024-08-04,Piped gas bill,777.15,Bills & Utilities,UPI,0
2024-07-18,Swiggy Instamart,1369.04,Groceries,Credit Card,0
2023-11-18,Yoga class fee,2343.3,Personal Care,UPI,0
2024-04-09,McDonald's,176.56,Food,UPI,0
2024-10-25,Thyrocare test,1647.67,Health,UPI,0
2024-03-02,Uber ride,3493.16,Transport,UPI,0
2023-06-06,Spotify premium,129.57,Entertainment,UPI,0
2023-11-24,PVR Cinemas,1234.53,Entertainment,Cash,0
2023-10-01,BlinkIt vegetables,1650.4,Groceries,Debit Card,0
2024-08-10,Unacademy Plus,4666.66,Education,UPI,0
2023-02-03,YouTube Premium,291.66,Entertainment,UPI,0
2023-06-15,BlinkIt vegetables,2545.95,Groceries,UPI,0
2024-08-02,Apollo pharmacy,4963.12,Health,UPI,0
2023-12-19,College fee,10962.49,Education,UPI,0
2024-09-09,Petrol - HP pump,1805.19,Transport,UPI,0
2023-01-21,LinkedIn Learning,14011.75,Education,UPI,0
2024-04-10,Flipkart order,2229.22,Shopping,UPI,0
2023-09-25,Spencer's retail,3683.89,Shopping,Debit Card,0
2023-05-15,Reliance Digital,349.17,Shopping,UPI,0
2023-03-26,Cult.fit subscription,2015.33,Personal Care,Debit Card,0
2023-11-19,Municipal tax,2059.58,Bills & Utilities,UPI,0
2024-07-03,TATA Power bill,2316.89,Bills & Utilities,UPI,0
2024-08-19,Meesho purchase,6676.84,Shopping,Credit Card,0
2023-04-03,Lifestyle store,3619.65,Shopping,UPI,0
2023-08-04,Haldiram's,943.55,Food,UPI,0
2024-05-17,Swiggy Instamart,1087.34,Groceries,Credit Card,0
2024-04-17,BookMyShow movie,201.55,Entertainment,Credit Card,0
2024-01-30,LIC premium,15942.8,EMI & Finance,Credit Card,0
2024-11-29,BlinkIt vegetables,1588.74,Groceries,Debit Card,0
2023-12-27,Rapido bike,3158.25,Transport,Credit Card,0
2023-11-05,Books - Amazon,2112.21,Education,UPI,0
2023-12-19,HDFC car loan EMI,4133.15,EMI & Finance,UPI,0
2024-05-23,Yoga class fee,2325.05,Personal Care,Credit Card,0
2024-10-01,Salon haircut,1675.17,Personal Care,UPI,0
2024-08-24,INOX movies,944.8,Entertainment,Cash,0
2024-03-14,DMart grocery,4621.52,Shopping,Debit Card,0
2023-06-18,LinkedIn Learning,3431.27,Education,Credit Card,0
2023-08-15,Nature's Basket,1041.83,Groceries,UPI,0
2024-02-21,Cult.fit subscription,2181.21,Personal Care,Net Banking,0
2023-06-01,PPF deposit,24039.14,EMI & Finance,Credit Card,0
2023-05-01,Salon haircut,2206.61,Personal Care,Credit Card,0
2023-01-14,INOX movies (unusual),5040.45,Entertainment,Debit Card,1
2023-11-05,HDFC Life insurance,14416.93,EMI & Finance,UPI,0
2023-11-26,JioMart,1882.98,Groceries,UPI,0
2024-01-13,Croma electronics,2607.66,Shopping,UPI,0
2024-12-17,Swiggy order,824.36,Food,UPI,0
2024-04-04,BigBasket order,942.11,Groceries,UPI,0
2023-02-23,Zomato delivery,478.25,Food,UPI,0
2023-05-18,Metro card recharge,2227.57,Transport,UPI,0
2024-12-02,BSNL broadband,839.27,Bills & Utilities,Debit Card,0
2024-03-28,Airtel recharge,3459.25,Bills & Utilities,Credit Card,0
2024-02-16,PVR Cinemas,1229.5,Entertainment,Credit Card,0
2023-03-23,Lifestyle store,3859.06,Shopping,Credit Card,0
2024-10-31,Society maintenance,2585.51,Bills & Utilities,UPI,0
2024-11-13,GeeksForGeeks premium,3890.65,Education,UPI,0
2023-04-03,Manipal hospital,3788.92,Health,Credit Card,0
2023-11-21,BSNL broadband,2496.66,Bills & Utilities,Credit Card,0
2023-04-15,Rapido bike,1806.91,Transport,Credit Card,0
2024-06-10,HDFC car loan EMI,24314.25,EMI & Finance,UPI,0
2024-01-18,Spotify premium,105.54,Entertainment,Credit Card,0
2024-10-22,BYJU's fee,7371.62,Education,UPI,0
2024-11-17,LinkedIn Learning,10459.43,Education,Cash,0
2023-12-17,Croma electronics,7139.87,Shopping,Credit Card,0
2024-05-04,Metro card recharge,4485.98,Transport,Debit Card,0
2024-07-08,Ola cab,1935.45,Transport,Debit Card,0
2024-11-11,JioMart,1687.04,Groceries,Net Banking,0
2023-02-28,Sony LIV,1387.06,Entertainment,Credit Card,0
2023-07-08,BookMyShow movie,1166.53,Entertainment,Credit Card,0
2023-11-24,Netmeds delivery,1676.83,Health,UPI,0
2023-03-31,Spotify premium,1335.77,Entertainment,UPI,0
2024-04-24,DTH recharge - Dish TV,3072.31,Bills & Utilities,Debit Card,0
2024-09-09,Diagnostic lab - SRL,3762.83,Health,Credit Card,0
2023-01-26,BYJU's fee,6199.47,Education,UPI,0
2023-04-01,Laundry service - Urban Company,1821.28,Personal Care,Credit Card,0
2023-12-19,Cafe Coffee Day,993.23,Food,Debit Card,0
2023-11-25,PVR Cinemas,757.48,Entertainment,UPI,0
2024-04-20,Local kirana store,2967.7,Groceries,UPI,0
2024-11-02,Reliance Digital,7366.4,Shopping,Cash,0
2024-06-23,MedPlus medicine,3935.39,Health,UPI,0
2023-05-27,Spotify premium,1338.44,Entertainment,Credit Card,0
2023-10-06,Swiggy Instamart,922.73,Groceries,Credit Card,0
2024-03-20,Laundry service - Urban Company,1107.25,Personal Care,UPI,0
2024-10-10,Nature's Basket,2370.49,Groceries,UPI,0
2023-01-20,Myntra personal care,656.57,Personal Care,UPI,0
2023-10-22,Manipal hospital,2439.5,Health,UPI,0
2023-07-23,Gym membership,2276.43,Personal Care,Cash,0
2024-03-03,PVR Cinemas,1014.99,Entertainment,Net Banking,0
2024-10-07,Meesho purchase,6624.65,Shopping,UPI,0
2023-03-22,Vi recharge,391.15,Bills & Utilities,Net Banking,0
2024-03-04,PPF deposit,19883.15,EMI & Finance,Credit Card,0
2024-01-14,Books - Amazon,3180.78,Education,Net Banking,0
2024-01-25,GeeksForGeeks premium,14271.43,Education,UPI,0
2023-08-24,Myntra personal care,2098.81,Personal Care,Net Banking,0
2023-06-24,Gaming - Steam,856.48,Entertainment,UPI,0
2023-03-20,KFC order,622.93,Food,UPI,0
2024-04-28,ICICI personal loan EMI,5164.79,EMI & Finance,UPI,0
2024-02-19,Term insurance premium,11806.5,EMI & Finance,UPI,0
2023-06-11,1mg order,3315.54,Health,Credit Card,0
2024-08-04,Nykaa skincare,2141.82,Personal Care,Debit Card,0
2023-11-11,BMTC bus pass,1631.01,Transport,Debit Card,0
2023-05-18,Ajio fashion,6877.46,Shopping,UPI,0
2024-04-13,Myntra clothes,692.18,Shopping,Debit Card,0
2024-10-27,Big Bazaar,2748.65,Shopping,Credit Card,0
2024-08-26,Meesho purchase,1887.8,Shopping,UPI,0
2023-07-22,Myntra personal care,1579.16,Personal Care,UPI,0
2024-12-21,Diagnostic lab - SRL,677.03,Health,Debit Card,0
2023-12-20,Cult.fit subscription,191.82,Personal Care,Credit Card,0
2023-06-20,Zomato delivery,1117.53,Food,Debit Card,0
2024-04-02,JioMart,341.78,Groceries,Credit Card,0
2023-11-08,Dominos Pizza,247.1,Food,Credit Card,0
2024-12-27,Netmeds delivery,4900.98,Health,Credit Card,0
2023-01-10,Society maintenance,594.84,Bills & Utilities,Debit Card,0
2024-12-28,PVR Cinemas,737.27,Entertainment,Credit Card,0
2024-10-12,Unacademy Plus,6909.84,Education,UPI,0
2024-05-25,Zomato delivery,906.33,Food,Debit Card,0
2024-12-09,IRCTC train ticket,892.63,Transport,UPI,0
2024-09-23,Hotstar subscription,183.69,Entertainment,Credit Card,0
2024-04-24,Swiggy Instamart,1822.96,Groceries,Credit Card,0
2024-10-02,Swiggy Instamart,1181.07,Groceries,Debit Card,0
2023-05-04,HDFC car loan EMI,15836.8,EMI & Finance,UPI,0
2024-05-28,IRCTC train ticket,4061.57,Transport,UPI,0
2023-09-01,Gym membership,1881.79,Personal Care,Credit Card,0
2024-05-13,YouTube Premium,722.95,Entertainment,Debit Card,0
2023-10-27,Ola outstation,1951.59,Transport,Credit Card,0
2024-07-04,Netmeds delivery,4416.78,Health,UPI,0
2024-02-28,Yoga class fee,2172.92,Personal Care,UPI,0
2024-01-31,LIC premium,22458.19,EMI & Finance,Debit Card,0
2023-11-08,Pizza Hut,684.72,Food,UPI,0
2024-03-10,Ola outstation (unusual),21086.47,Transport,Credit Card,1
2024-10-27,MedPlus medicine,2794.26,Health,UPI,0
2024-04-16,Burger King (unusual),3017.67,Food,UPI,1
2023-10-24,Netmeds delivery,4282.06,Health,UPI,0
2024-04-12,Zomato delivery,1120.96,Food,UPI,0
2023-09-30,Thyrocare test,2648.36,Health,Cash,0
2024-03-07,SBI home loan EMI,6007.66,EMI & Finance,UPI,0
2023-10-08,HDFC car loan EMI,18185.93,EMI & Finance,Credit Card,0
2023-10-10,Pizza Hut,1000.57,Food,Credit Card,0
2023-04-27,DTH recharge - Tata Sky,2184.07,Bills & Utilities,UPI,0
2023-05-15,Haldiram's,457.18,Food,Debit Card,0
2023-04-26,Big Bazaar,3850.56,Shopping,UPI,0
2024-12-06,Starbucks,438.56,Food,Credit Card,0
2023-06-23,Cult.fit subscription,247.4,Personal Care,UPI,0
2024-01-06,Coursera subscription,9867.36,Education,UPI,0
2023-02-08,Gym membership,1384.37,Personal Care,Debit Card,0
2024-04-05,DMart grocery,1049.99,Shopping,UPI,0
2023-11-21,Fortis hospital,4134.36,Health,UPI,0
2024-08-24,Coaching institute fee,9156.08,Education,Credit Card,0
2024-07-07,Unacademy Plus,11851.78,Education,UPI,0
2024-09-15,YouTube Premium,269.12,Entertainment,Cash,0
2024-08-24,Netmeds delivery,4612.97,Health,Debit Card,0
2023-03-14,MedPlus medicine,1281.3,Health,Credit Card,0
2024-10-25,Petrol - Indian Oil,628.09,Transport,Credit Card,0
2024-03-25,1mg order,3511.85,Health,Credit Card,0
2024-08-11,Hotstar subscription,968.56,Entertainment,UPI,0
2024-05-04,Manipal hospital,1431.98,Health,UPI,0
2023-08-08,Big Bazaar,233.77,Shopping,Debit Card,0
2024-01-25,Laundry service - Urban Company,1426.85,Personal Care,UPI,0
2023-04-30,Petrol - HP pump,372.12,Transport,UPI,0
2024-07-04,YouTube Premium,130.87,Entertainment,UPI,0
2024-10-29,Udemy course,7021.14,Education,Debit Card,0
2024-11-11,Meesho purchase,2616.11,Shopping,Debit Card,0
2024-07-06,MedPlus medicine,3445.38,Health,Credit Card,0
2023-05-25,Laundry service - Urban Company,905.21,Personal Care,UPI,0
2024-12-22,SBI home loan EMI,24499.37,EMI & Finance,Credit Card,0
2024-08-17,Petrol - HP pump,2902.39,Transport,Credit Card,0
2024-06-16,KFC order,551.38,Food,UPI,0
2024-09-06,GeeksForGeeks premium,2986.16,Education,Cash,0
2024-10-14,YouTube Premium,462.13,Entertainment,UPI,0
2023-11-16,Ajio fashion,1043.17,Shopping,UPI,0
2024-11-07,Society maintenance,2256.67,Bills & Utilities,Debit Card,0
2023-11-11,Flipkart order,1543.54,Shopping,UPI,0
2024-10-02,Nykaa beauty,4855.67,Shopping,Debit Card,0
2024-01-11,Dominos Pizza,155.3,Food,Debit Card,0
2023-05-31,Dunkin Donuts,393.35,Food,Credit Card,0
2023-10-15,Gym membership,170.33,Personal Care,Debit Card,0
2024-03-20,Big Bazaar,7821.39,Shopping,Cash,0
2023-01-11,Mutual fund SIP - Zerodha,17738.14,EMI & Finance,UPI,0
2024-05-12,Society maintenance,430.37,Bills & Utilities,UPI,0
2024-12-07,Mutual fund SIP - Zerodha,8880.55,EMI & Finance,Cash,0
2023-04-03,Cult.fit subscription,421.32,Personal Care,Credit Card,0
2024-05-15,Unacademy Plus,1741.39,Education,Debit Card,0
2023-04-21,Sony LIV,489.73,Entertainment,Debit Card,0
2024-03-02,Swiggy Instamart,2863.5,Groceries,UPI,0
2023-10-20,Rapido bike,2610.16,Transport,UPI,0
2023-08-03,Barbeque Nation,1166.98,Food,Net Banking,0
2024-12-14,Airtel recharge,398.36,Bills & Utilities,UPI,0
2024-10-23,Diagnostic lab - SRL,2241.82,Health,UPI,0
2024-06-06,HDFC car loan EMI,15402.72,EMI & Finance,Credit Card,0
2023-03-18,ICICI personal loan EMI,22422.42,EMI & Finance,UPI,0
2023-05-03,BlinkIt vegetables,1968.54,Groceries,Debit Card,0
2023-05-30,Gaming - Steam,737.55,Entertainment,Credit Card,0
2024-03-18,Petrol - HP pump,2886.54,Transport,Cash,0
2023-06-10,Fortis hospital,4128.4,Health,UPI,0
2023-04-14,Dunzo grocery,2957.88,Groceries,Net Banking,0
2023-03-08,Laundry service - Urban Company,256.87,Personal Care,UPI,0
2023-05-14,Dunzo grocery,970.69,Groceries,UPI,0
2024-01-06,DMart grocery,3788.76,Shopping,Credit Card,0
2023-06-24,Swiggy order,1034.24,Food,Credit Card,0
2024-09-04,Hotstar subscription,1495.43,Entertainment,Cash,0
2023-06-04,Yoga class fee,2174.19,Personal Care,Credit Card,0
2024-12-06,SBI credit card payment,5760.81,EMI & Finance,Net Banking,0
2024-03-01,College fee,9614.28,Education,Credit Card,0
2024-01-27,Salon haircut,1256.73,Personal Care,UPI,0
2024-10-17,BookMyShow movie,1355.01,Entertainment,UPI,0
